Name,Nicknames,Age,Born Date,Born Location,Born Country,Continent,Died Date,Died Location,Date Apprehended,Apprehended Age,Conviction,Criminal Penalty,Criminal Penalty Categories,Zodiac Sign
Patrick Kearney,"The Trash Bag Killer, The Freeway Killer",,1939-09-24,,,,,,1977-07-01,37,First Degree Murder Necrophilia,life imprisonment,Life Imprisonment,Libra
William Bonin,"The Freeway Killer, The Freeway Strangler",49.0,1947-01-08,,,,1996-02-23,,1980-06-11,33,First Degree Murder With Special Circumstances Robbery Sodomy,"Los Angeles County, death(March 12, 1982)Orange County, death(August 26, 1983)",Death Sentence,Capricorn
Vasile Tcaciuc,The Butcher of Iași,,,"Bessarabia Governorate, Russian Empire",Russian Empire,,1935-10-17,"Iai, Kingdom of Romania",,,,,,
Yoo Young-Chul,Raincoat Killer (레인 코트 킬러),,1970-04-18,"Gochang County, South Korea",South Korea,,,,2004-07-15,34,,,,Aries
Francisco Guerrero Pérez,"El Chalequero, The Mexican Bluebeard, The Consulado River Strangler, The Consulado River Ripper, The Mexican Ripper",,,"The Bajo, Mexico",Mexico,North America,,"Palacio de Lecumberri, Mexico City, Mexico",1908-01-01,,,deathpenalty,Death Sentence,
Ted Bundy,"Chris Hagen, Kenneth Misner, Officer Rosel, Richard Burton, Rolf Miller",42.0,1946-11-24,,,,1989-01-24,,1975-08-16,28,"First-Degree Murder ×, Attempted First-Degree Murder ×, Aggravated Kidnapping, Burglary","Three death sentences (two in 1979, one in 1980) 1 to 15 years in prison (1976)",Death Sentence,Sagittarius
Abdullah Shah,"Zardad,s dog",,,,,,2004-04-20,"Kabul, Afghanistan",,,Murder,death,Death Sentence,
Mohan Kumar,"Cyanide Mohan, Ana, Bhaskara, Bhaskar",,,"Karnataka, India",India,Asia,,,2009-10-21,,,deathpenalty (commuted to life imprisonment),Death Sentence,
Bulelani Mabhayi,The Monster of Tholeni,,,South Africa,South Africa,Africa,,,,,Murder,25 years to life imprisonment,Life Imprisonment,
Larry Eyler,"The Highway Killer, The Interstate Killer",41.0,1952-12-21,,,,1994-03-06,,1984-08-21,31,"Illinois, Murder, Aggravated Kidnapping, Concealment Of A Homicidal Death, Indiana, Murder","Illinois, death(October 3, 1986)Indiana, 60 years imprisonment (December 28, 1990)",Death Sentence,Sagittarius
Cape Town Prostitute Killer,The Cape Town Strangler,,,,,,,,,,,,,
El Psicópata,"The Psychopath, The Psycho",,,,,,,,,,,,,
Sergei Ryakhovsky,The Balashikha Ripper  The Hippopotamus,44.0,1962-12-29,"Balashikha, Moscow Oblast, Soviet Union",Soviet Union,Europe,2007-11-12,"Mordovian Zone, Sosnovka, Mordovia, Russia",1993-04-13,30,Murder,death(commuted to life imprisonment),Death Sentence,Capricorn
Yevgeny Chuplinsky,"See aliases, The Maniac of Novosibirsk, The Novosibirsk Maniac, The Novosibirsk Ripper, The Policeman Maniac, The Policeman Ripper, The Satanist Maniac, The Occult Maniac, The Siberian Monster, The Siberian Ripper, The Siberian Chikatilo, Chupa-Chups",,1965-03-14,"Novosibirsk, Novosibirsk Oblast, RSFSR",RSFSR,Europe,,,2016-04-23,51,Murder ×,life imprisonment,Life Imprisonment,Pisces
M. Jaishankar,Psycho Shankar,,,"Kanniyanpatti, Tamil Nadu, India",India,Asia,2018-02-27,"Bangalore, Karnataka, India",2009-09-01,,"Murder, Rape",life imprisonment,Life Imprisonment,
Ansis Kaupēns,,31.0,1895-11-02,"Platone Parish, Courland Governorate, Russian Empire",Russian Empire,,1927-05-06,"Vircava Parish, Latvia",1926-06-08,30,Murder,death,Death Sentence,Scorpio
Vadim Ershov,"The Krasnoyrask Beast, The Krasnoyarsk Chikatilo, The Maniac with a Diary",,1973-02-15,"Rechnoy, Kirov Oblast, RSFSR",RSFSR,Europe,,,1995-10-29,22,Murder,"death, commuted to life imprisonment",Death Sentence,Aquarius
Velaphi Ndlangamandla,The Saloon Killer,,,,,,,,1998-09-10,,Murder,137 years imprisonment,Years Imprisonment,
Valery Kopytov,Barnaul Chikatilo,,,"Barnaul, RSFSR, Soviet Union",Soviet Union,Europe,,,2005-01-01,,Murder Robbery,25 years imprisonment,Years Imprisonment,
Randall Woodfield,"The I-5 Bit, The I-5 Killer",,1950-12-26,,,,,,1981-03-07,30,"Murder, Attempted Murder, Second-Degree Robbery, Sodomy, Sexual Assault",life imprisonment plus 99 years,Life Imprisonment,Capricorn
Yavuz Yapıcıoğlu,"The Screwdriver Killer, The Beast",,,"Adana, Turkey",Turkey,Asia,,,2002-01-01,,,40 years in prison,Years Imprisonment,
Paul John Knowles,The Casanova Killer,28.0,1946-04-25,"Orlando, Florida, United States",United States,North America,1974-12-18,"Georgia, United States",1974-11-17,28,,,,Taurus
Thierry Paulin,"The Monster of Montmartre, The Grim Reaper of Paris, The Beast of Montmartre, The Old Lady Killer",25.0,1963-11-28,"France, Martinique",Martinique,North America,1989-04-16,"Fresnes Prison, Fresnes, France",1987-12-01,24,Died Before Trial,,,Sagittarius
Richard Nyauza,,,,,,,,,2006-09-01,,"Murder , Attempted Murder, Rape , Robbery",16 life sentence(s) + 140 years imprisonment,Life Imprisonment,
Umesh Reddy,"Rajulu, Ramesh, Venkatesh",,,"Basappa Malige, Karnataka, India",India,Asia,,,,,"Murder, Rape",life imprisonment,Life Imprisonment,
Christopher Mhlengwa Zikode,Donnybrook Serial Killer,,,"Christopher Mhlengwa ZikodeDonnybrook, South Africa",South Africa,Africa,,,1995-09-29,,,"140 years (, 5 life sentence(s))",Life Imprisonment,
Kotakethana Murders,,,,,,,,,,,,,,
Asande Baninzi,,,,South Africa,South Africa,Africa,,,,,"Murder, Rape, Armed Robbery",19 life sentence(s) plus 189 years imprisonment,Life Imprisonment,
Vladimir Mirgorod,"The Strangler, The Neat Maniac",,1979-11-01,"Moscow, RSFSR",RSFSR,Europe,,,2010-01-01,30,Murder,life imprisonment,Life Imprisonment,Scorpio
Richard Cottingham,Torso Killer  Times Square Ripper,,1946-11-25,,,,,,1980-05-22,33,,life imprisonment,Life Imprisonment,Sagittarius
Huang Yong,,29.0,1974-11-18,"Henan, China",China,Asia,2003-12-26,"Henan, China",2003-11-12,29,,death,Death Sentence,Scorpio
Pedro Pablo Nakada Ludeña,The Apostle of Death,,1973-02-28,"Lima, Peru",Peru,South America,,,2006-12-28,33,Murder,35 years in prison,Years Imprisonment,Pisces
Darbara Singh,,,,"Jallupur Khera, Amritsar district, India",India,Asia,,"Patiala, Punjab, India",,,,,,
Robert Hansen,"Bob the Baker, Bob Hansen, The Butcher Baker",75.0,1939-02-15,,,,2014-08-21,,1983-10-27,44,First Degree Murder,461 years imprisonment without parole,Years Imprisonment,Aquarius
Sergei Dovzhenko,Murchik,,1972-06-30,"Mariupol, Donetsk Oblast, Ukrainian SSR",Ukrainian SSR,Europe,,,2002-05-17,29,Murder,life imprisonment,Life Imprisonment,Cancer
Donato Bilancia,"The Liguria Monster, Killer on the trains, Walter",69.0,1951-07-10,"Potenza, Italy",Italy,Europe,2020-12-17,"Padua, Italy",1998-05-06,46,April,13 terms of life imprisonment,Life Imprisonment,Cancer
Irina Gaidamachuk,"Raskolnikov in a skirt, Satan in a skirt, She-wolf of Krasnoufimsk, Maniac-woman from Sverdlovsk",,1972-05-22,"Mansi Autonomous Okrug, Soviet Union",Soviet Union,Europe,,,2010-01-01,37,,20 years,Years Imprisonment,Gemini
Chen Fuzhao,,,,"Cangnan, Zhejiang, China",China,Asia,,"Zhejiang, China",2003-07-01,,Murder,death,Death Sentence,
Randy Steven Kraft,"The Freeway Killer, Southern California Strangler, The Scorecard Killer",,1945-03-19,,,,,,1983-05-14,38,"Capital Murder, Sodomy, Mutilation",death,Death Sentence,Pisces
Juana Barraza,"Mataviejitas(Sp. Little Old Lady Killer, )La Dama del Silencio(Sp. The Lady of Silence)",,1957-12-27,"Epazoyucan, Hidalgo, Mexico",Mexico,North America,,,2006-01-25,48,,759 years,Years Imprisonment,Capricorn
Michel Fourniret,Ogre of the Ardennes,79.0,1942-04-04,"Sedan, France",France,Europe,2021-05-10,"Paris, France",2003-06-26,61,Murder,life imprisonment without the possibility of parole,Life Imprisonment,Aries
Sipho Agmatir Thwala,The Phoenix Strangler,,,"Sipho Mandla Agmatir ThwalaKwaMashu, South Africa",South Africa,Africa,,,1997-08-14,,,life imprisonment(506 years),Life Imprisonment,
Saeed Hanaei,"Said, Spider Killer",,,Imperial State of Iran,Imperial State of Iran,Asia,2002-04-08,"Mashhad Prison, Mashhad, Iran",2001-07-01,,,death,Death Sentence,
Maina Ramulu,,,,"Arutla village, Telangana, India",India,Asia,,,2009-10-14,,"Murder , Larceny , Escaping Police Custody",,,
Jeffrey Dahmer,"The Milwaukee Cannibal, The Milwaukee Monster",34.0,1960-05-21,,,,1994-11-28,,1991-07-22,31,"First-Degree Murder, Disorderly Conduct, Second-Degree Sexual Assault And Enticing A Child For Immoral Purposes[N ]","life imprisonment without the possibility of parole (x16, total of 941 years imprisonment)",Life Imprisonment,Gemini
José Antonio Rodríguez Vega,The Old Lady Killer,44.0,1957-12-03,"Santander, Spain",Spain,,2002-10-24,"Topas, Spain",1988-05-19,30,,440 years imprisonment,Years Imprisonment,Sagittarius
Carroll Cole,,47.0,1938-05-09,,,,1985-12-06,,1980-11-30,42,First Degree Murder,"death(October 12, 1984)",Death Sentence,Taurus
Elias Xitavhudzi,Pangaman,,,Elias XitavhudziUnion of South Africa,Elias XitavhudziUnion of South Africa,Africa,1960-11-14,"Pretoria Central Prison, Pretoria, Union of South Africa",,,,deathby hanging,Death Sentence,
Charles Ray Hatcher,"Albert Aire, Richard Clark, Richard Mark Clark, Richard Martin Clark, Richard Lee Grady, Richard Harris, Carl L. Kalebough, Earl L. Kalebough, Doris Mullins, Hobart Prater, Albert Ralph Price, Richard Lee Price, Ronald Springer, Charles Marvin Tidwell, Doris Mullins Travis, Dwayne Lee Wilfong",55.0,1929-07-16,,,,1984-12-07,,1982-07-30,53,Capital Murder,life imprisonment without the possibility of parole for 50 years,Life Imprisonment,Cancer
Yuri Ivanov,"The Ust-Kamenogorsk Maniac, The Silk Factory Killer",,,"Kamenogorsk, Kazakh SSR, Soviet Union",Soviet Union,Europe,,"Kazakh SSR, Soviet Union",1987-01-01,,Murder,death,Death Sentence,
Robert Lee Yates,"The Grocery Bag Killer, The Prostitute Killer, Spokane Washington,s Serial Killer, The Spokane Serial Killer",,1952-05-27,,,,,,2000-04-18,47,Aggravated First Degree Murder First Degree Murder Attempted First Degree Murder,"408 years imprisonment,Spokane County2. death(commuted to life), Pierce County",Death Sentence,Gemini
Farid Baghlani,The Cyclist Killer,,,"Abadan, Iran",Iran,Asia,2010-11-13,"Karun Prison, Ahvaz, Iran",2008-11-01,,Murder,death,Death Sentence,
Jimmy Maketta,,,,South Africa,South Africa,Africa,,,,,Murder Rape,,,
Jack Mogale,West-End Serial Killer,,,South Africa,South Africa,Africa,,,2009-01-01,,"Murder, Kidnapping, Rape",life imprisonment,Life Imprisonment,
Donald Henry Gaskins,The Meanest Man,,,,,,1991-09-06,,1975-11-14,,"Murder Robbery, Assault",death(1976 and 1983),Death Sentence,
Ravinder Kumar,,,,"Badaun, Uttar Pradesh",Uttar Pradesh,,,,2015-07-19,,,,,
Atlanta Ripper,,,,,,,,,,,,,,
Ángel Maturino Reséndiz,,46.0,1959-08-01,"Izcar de Matamoros, Puebla, Mexico",Mexico,North America,2006-06-27,,,,,,,Leo
Chester Turner,The Southside Slayer,,1966-11-05,,,,,,2003-09-30,36,,death,Death Sentence,Scorpio
Alexander Labutkin,"The One-Armed Bit, The Shooter",,," Petersburg, Russian Empire",Russian Empire,,,USSR,1935-04-01,,Murder,death,Death Sentence,
Florencio Fernández,"The Argentine Vampire, The Window Vampire",,,"Monteros, Tucumn Province, Argentina",Argentina,South America,,,,,Murder,Confined to a mental institution,Hospital Detention,
Elifasi Msomi,"The Axe Killer, Tokoloshe Killer",,,Union of South Africa,Union of South Africa,Africa,,"Pretoria Central Prison, Pretoria, Transvaal, Union of South Africa",1955-01-01,,,death,Death Sentence,
Maurizio Minghella,,,1958-07-16,"Genoa, Italy",Italy,Europe,,,2001-03-07,42,,life imprisonment,Life Imprisonment,Cancer
Bai Baoshan,,,,"Shijingshan District, Beijing, China",China,Asia,,"Xinjiang Uyghur Autonomous Region, China",1997-09-05,,"Murder, Robbery, Assault",death,Death Sentence,
Lee Choon-Jae,,,1963-01-31,"Hwaseong, Gyeonggi Province, South Korea",South Korea,,,,1994-01-18,30,Murder,"Capital punishment in May 1994, commuted to life imprisonment",Life Imprisonment,Aquarius
Carl Eugene Watts,"Coral, The Sunday Morning Slasher",53.0,1953-11-07,,,,2007-09-21,,1982-05-23,28,Murder,"60 years, life imprisonment without parole",Life Imprisonment,Scorpio
Belle Gunness,,,,"Trndelag, Norway",Norway,Europe,1908-04-28,,,,,,,
Philipp Tyurin,"The Leningrad Maniac, The Hellraiser, Philipp the Bloody",,,"Sumerki, Ryazan Governorate, Russian Empire",Russian Empire,,,"Leningrad, RSFSR",1947-01-27,,Murder,death,Death Sentence,
Zdzisław Marchwicki,The Zagłębie Vampire,49.0,1927-10-18,"Dbrowa Grnicza, Poland",Poland,Europe,1977-04-26,"Katowice, Poland",1972-01-01,44,Murder,death,Death Sentence,Libra
Julio Pérez Silva,The Psychopath of Alto Hospicio,,1963-07-15,"Puchuncav, Valparaso, Chile",Chile,,,,2001-10-04,38,Murder,life imprisonment with the possibility of parole after 40 years imprisonment (murder)20 years imprisonment (rape)10 years imprisonment (attempted murder),Life Imprisonment,Cancer
Monster Of Florence,"Il Mostro (The Monster), The Surgeon of Death, Il Mostro di Firenze, The Monster of Florence",,,,,,,,,,,,,
Joachim Kroll,",Ruhr Cannibal,Duisburg Man-Eater,",58.0,1933-04-17,"Hindenburg, Germany",Germany,Europe,1991-07-01,"Rheinbach, Germany",,,"Murder, Attempted Murder",life imprisonment (8 counts),Life Imprisonment,Aries
Arthur Shawcross,"The Genesee River Killer, The Monster of the Rivers, The Rochester Strangler",63.0,1945-06-06,,,,2008-11-10,,1990-01-05,44,"Arson, Burglary, Manslaughter, Second Degree Murder",life imprisonment without parole (or a term amounting to 250 years),Life Imprisonment,Gemini
Naceur Damergi,Slaughterer of Nabeul,,,"Tunis, French Tunisia",French Tunisia,Africa,1990-11-17,"Tunis, Tunisia",1989-11-27,,Murder And Rape,death,Death Sentence,
Muthukutty Chandran,Ripper,,,"Karinthala, Nileswaram, Kerala, India",India,Asia,,"Kannur, Kerala, India",1986-02-26,,"Murder, Rape, Theft",death,Death Sentence,
Marcelo Costa De Andrade,The Vampire of Niterói,,1967-01-02,"Rio de Janeiro, United States of Brazil",United States of Brazil,,,,1991-12-18,24,Murder,Committed to a psychiatric hospital,Hospital Detention,Capricorn
Sergey Shipilov,"The Velsk Chikatilo, The Velsk Maniac, The Arkhangelsk Chikatilo",,1959-05-17,"Arkhangelsk, Arkhangelsk Oblast, RSFSR",RSFSR,Europe,,,1999-10-10,40,Murder,life imprisonment,Life Imprisonment,Taurus
Dorángel Vargas,El comegente,,1957-05-14,"Cao Zancudo,Mrida,Venezuela",Venezuela,South America,,,1999-02-01,41,,,,Taurus
Hua Ruizhuo,,,,,,,2002-01-31,"Beijing, China",2001-07-26,,Murder,death,Death Sentence,
Denis Pischikov,"The Shivering Creature, Urals Raskolnikov",,1983-04-12,"Bulanash, Sverdlovsk Oblast, RSFSR",RSFSR,Europe,,,2003-04-05,19,Murder,life imprisonment,Life Imprisonment,Aries
Abdufatto Zamanov,The Krasnoyarsk Chikatilo,,1973-04-07,"Somoniyon, Central District, Tajik SSR",Tajik SSR,Asia,,,2004-12-09,31,Murder,life imprisonment,Life Imprisonment,Aries
Jeong Nam-Gyu,,40.0,1969-04-17,"Jangsu County, South Korea",South Korea,,2009-11-22,"Seoul Detention Center, South Korea",,,Murder,death,Death Sentence,Aries
Amir Qayyum,The Brick Killer,,,Pakistan,Pakistan,Asia,,,2005-07-18,,Murder,death,Death Sentence,
Denis Kazungu,,,,,,,,,2023-09-05,,Murder,life imprisonment,Life Imprisonment,
Jake Bird,The Tacoma Ax-Killer,,,,,,1949-07-15,,1947-10-30,,First Degree Murder,death,Death Sentence,
Cleveland Torso Murderer,The Mad Butcher of Kingsbury Run,,,,,,,,,,,,,
Kaspars Petrovs,,,,"Grobia, Latvia",Latvia,Europe,,,2003-02-01,,May,Life,Life Imprisonment,
