Name,Killer Type,Country,Country Sorted,Continent,Start Year,End Year,Median Year,Years Active,Decade,Total Victims (Unproven + Proven),Unproven Possible Victims,Proven Victims,Notes
Anatoly Onoprienko,Male,"Soviet Union, Ukraine",Multiple Countries,Multiple continents,1989,1996,1992,7,1990s,52,0,52,"Known as ""The Beast of Ukraine"", ""The Terminator"", and ""Citizen O"". Onoprienko was convicted of the murders of nine people in 1989, and 43 people in 1995–1996. He travelled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. He was sentenced to death, and was later commuted to imprisonment for life. He died from heart failure in 2013."
Florisvaldo de Oliveira,Male,Brazil,Brazil,South America,1982,1983,1982,1,1980s,50,0,50,"Known as ""Cabo Bruno""; de Oliveira was a former police officer and vigilante who murdered criminals in the outskirts of São Paulo. He was murdered by unknown assailants in 2012."
Gary Ridgway,Male,United States,United States,North America,1982,1998,1990,16,1990s,80,31,49,"Ridgway was a truck painter who confessed to killing 71 women. He was also known as The ""Green River Killer"". He almost exclusively targeted sex workers from Seattle. Ridgway was suspected of killing over 90 victims; he confessed to 71, and was convicted of 49. He was sentenced to life without parole."
Alexander Pichushkin,Male,Russia,Russia,Europe,1992,2006,1999,14,1990s,60,11,49,"Pichushkin was also known as the ""Chessboard Killer"". He was convicted of murdering 49 victims, and suspected of killing 60. He claimed to have murdered 62 people, because he did not know that two of his victims had survived; he stated that his goal was becoming Russia's most prolific serial killer. He was sentenced to life imprisonment."
Wang Qiang,Male,China,China,Asia,1995,2003,1999,8,1990s,60,15,45,Wang killed 45 and raped 10 from 1995 to 2003. He was executed by firing squad in 2005.
Ahmad Suradji,Male,Indonesia,Indonesia,Asia,1986,1997,1991,11,1990s,42,0,42,Suradji was convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. He was executed by firing squad in 2008.
Raman Raghav,Male,India,India,Asia,1965,1968,1966,3,1960s,41,0,41,"In the late 1960s, Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their shelters while they slept. He died of kidney failure in 1995."
Moses Sithole,Male,South Africa,South Africa,Africa,1994,1995,1994,1,1990s,76,38,38,"Known as South Africa's Ted Bundy. Sithole preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. He was sentenced to 2,410 years imprisonment, with a non-parole period of 930 years."
Serhiy Tkach,Male,"Soviet Union, Ukraine",Multiple Countries,Multiple continents,1984,2005,1994,21,1990s,100,63,37,"A former Ukrainian police criminal investigator, Tkach suffocated girls aged between eight and eighteen, and performed sexual acts on their bodies after they were dead. He claimed to have killed 100. He was sentenced to life imprisonment, and died from heart failure in 2018."
Gennady Mikhasevich,Male,Soviet Union,Soviet Union,Multiple continents,1971,1985,1978,14,1970s,49,13,36,"Mikhasevich killed women by strangling them. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). He was executed by firing squad in 1987."
Hadj Mohammed Mesfewi,Male,Morocco,Morocco,Africa,,1906,,,<NA>s,36,0,36,"Known as ""Marrakesh Arch-Killer""; Mesfewi drugged, mutilated and murdered women; he was executed by immurement (walling) in 1906."
Vera Renczi,Female,"Kingdom of Romania, Yugoslavia, Hungary",Multiple Countries,Europe,1920,1930,1925,10,1920s,35,0,35,"Romanian serial killer nicknamed, ""The Black Widow"". Renczi was convicted of killing 35 men through arsenic poisoning, but confessed to only killing 32 victims. Renczi is one of the world's most prolific female serial killers. However, there is very little information about Renczi and her crimes, because personal information (criminal history, academic records, etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore, rather than an actual person."
Fernando Hernández Leyva,Male,Mexico,Mexico,North America,1982,1999,1990,17,1990s,137,104,33,"Hernández Leyva confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted, and claimed that he had been beaten by the police and his family threatened in order to force him to confess. He was accused of as many as 137 murders in five southern Mexican states, was convicted of 33 murders, and was sentenced to 50 years in prison. He tried unsuccessfully to commit suicide in prison. If his claim of 100+ victims were true, then Leyva would be Mexico's most prolific documented serial killer."
John Wayne Gacy,Male,United States,United States,North America,1972,1978,1975,6,1970s,39,6,33,"Gacy is known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. He was known as the ""Killer Clown"", due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994."
Ali Asghar Borujerdi,Male,"Ottoman Empire, Iraq, Iran",Multiple Countries,Multiple continents,1907,1934,1920,27,1920s,33,0,33,"Known as ""Asghar the Murderer"". Borujerdi killed 33 young adults in Iraq and Iran. He was executed by hanging in 1934."
Vasili Komaroff,Male,Soviet Union,Soviet Union,Multiple continents,1921,1923,1922,2,1920s,33,0,33,"Known as ""The Wolf of Moscow""; Komaroff was a horse trader who killed 33 men. He was executed by firing squad in 1923."
Ramadan Abdel Rehim Mansour,Male,Egypt,Egypt,Africa,1999,2006,2002,7,2000s,32,0,32,"Mansour was a gang leader known as ""al-Tourbini"" (""The Express Train""). He had raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia, and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times, they were thrown into the Nile or buried alive. Mansour was executed in 2010."
Radik Tagirov,Male,Russia,Russia,Europe,2011,2012,2011,1,2010s,31,0,31,"Known as the ""Volga Maniac"". He murdered elderly women in several Russian regions."
Karl Denke,Male,Germany,Germany,Europe,1900,1924,1912,24,1910s,42,12,30,"Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of human remains found in his apartment, his kill count is suspected by many to exceed 42 victims. Killed himself by hanging in his holding cell before he could be tried."
Francisco das Chagas Rodrigues de Brito,Male,Brazil,Brazil,South America,1989,2003,1996,14,1990s,42,12,30,"Serial killer of children, who also sexually abused and mutilated children in Maranhão and Pará; sentenced to 217 years imprisonment."
Monster of the Mangones,Unidentified,Colombia,Colombia,South America,1963,1970,1966,7,1960s,38,8,30,"Unidentified serial killer(s) who kidnapped, tortured, raped, and murdered at least 30 boys in Cali, Colombia."
Milton Sipalo,Male,Zambia,Zambia,Africa,1980,1989,1984,9,1980s,31,1,30,"Known as ""The Lusaka Strangler""; A soldier who raped and murdered women and girls in Lusaka. While awaiting trial, he jumped off of the roof of the police station where he was being interrogated, killing himself."
Luis Gregorio Ramírez Maestre,Male,Colombia,Colombia,South America,2010,2012,2011,2,2010s,30,0,30,Killed motorists in various municipalities before his 2012 capture. Was sentenced to 34 years in prison.
David Thabo Simelane,Male,Swaziland,Swaziland,Africa,2000,2001,2000,1,2000s,45,17,28,"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death."
Zhang Jun,Male,China,China,Asia,1993,2000,1996,7,1990s,28,0,28,"Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001."
Mariam Soulakiotis,Female,Greece,Greece,Europe,1939,1951,1945,12,1940s,177,150,27,"Known as ""Mother Rasputin""; abbess believed to have murdered wealthy women and children who came into her abbey. The true number of her victims is a matter of debate, but she was found guilty of 177 murders—150 through negligence (fraudulently claiming to offer free tuberculosis treatment when the 'treatment' only consisted of abiding in her high altitude convent) and 27 through starvation. Died in prison in 1954."
Cedric Maake,Male,South Africa,South Africa,Africa,1996,1997,1996,1,1990s,35,8,27,"Known as the ""Wemmer Pan Killer"" and ""Hammer Killer"". He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he shot them, and in others he murdered tailors with a hammer. Maake was arrested after Moses Sithole was found guilty of 38 killings and sentenced to 1,340 years in prison."
Robert Pickton,Male,Canada,Canada,North America,1983,2002,1992,19,1990s,49,23,26,"Known as the ""Pig Farmer Killer"" or the ""Butcher"", he killed women from mostly the Vancouver Downtown Eastside and would feed the remains to the pigs on his farm. In 2007, he was initially convicted for the deaths of 6 woman, but was later found guilty of the deaths of 20 other woman in 2010; however he confessed to 49 killings to an undercover police officer. In 2024, Pickton died of injuries received in an attack from another inmate."
Bruce George Peter Lee,Male,United Kingdom,United Kingdom,Europe,1973,1979,1976,6,1970s,26,0,26,"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized."
The Stoneman,Male,India,India,Asia,1985,1989,1987,4,1980s,25,0,25,"12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989—in all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever charged with any of the murders."
Juan Corona,Male,United States,United States,North America,1971,1980,1975,9,1970s,25,0,25,Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.
Fritz Haarmann,Male,Germany,Germany,Europe,1918,1924,1921,6,1920s,27,3,24,"Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have been responsible for the murder of 27 boys and young men, he was convicted, found guilty of 24 murders and executed by guillotine in 1925."
Béla Kiss,Male,Austria-Hungary,Austria-Hungary,Multiple continents,1912,1916,1914,4,1910s,24,0,24,"Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities. His final whereabouts and fate are unknown, as is his final victim count."
Majid Salek Mohammadi,Male,Iran,Iran,Asia,1981,1985,1983,4,1980s,24,0,24,"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; killed himself before he could be sentenced."
Yvan Keller,Male,"France, Germany, Switzerland",Multiple Countries,Europe,1989,2006,1997,17,1990s,150,127,23,"Known as the ""Pillow Killer""; killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; killed himself before trial."
Ronald Dominique,Male,United States,United States,North America,1997,2006,2001,9,2000s,23,0,23,"Louisianian serial killer, known locally as the Bayou Strangler and murdered victims in the Terrebonne Parish, Lafourche Parish, Iberville Parish and Jefferson Parish. Sentenced to eight life terms."
Juan Fernando Hermosa,Male,Ecuador,Ecuador,South America,1991,1992,1991,1,1990s,23,0,23,"Known as ""Niño del Terror""; youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants."
Gerald Stano,Male,United States,United States,North America,1969,1980,1974,11,1970s,88,66,22,"Confessed to killing 41 women, mostly in Florida and New Jersey. He was only convicted in 22 cases, and is suspected in the deaths of up to 88 victims. Some people have suggested that Stano was a serial confessor."
Earle Nelson,Male,"United States, Canada",Multiple Countries,North America,1926,1927,1926,1,1920s,25,3,22,"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hanged by Canadian authorities in January 1928."
Mikhail Novosyolov,Male,"Soviet Union, Russia, Tajikistan",Multiple Countries,Multiple continents,1977,1995,1986,18,1980s,22,0,22,"Known as the ""Necrophile Rebel""; killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment."
Manuel Octavio Bermúdez,Male,Colombia,Colombia,South America,1999,2003,2001,4,2000s,50,29,21,"Colombian child rapist and serial killer. Known as ""El Monstruo de los Cañaduzales"" (The Monster of the Cane Fields). He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison."
Patrick Kearney,Male,United States,United States,North America,1965,1977,1971,12,1970s,43,22,21,"Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life."
William Bonin,Male,United States,United States,North America,1979,1980,1979,1,1970s,36,15,21,"Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway Killer. Convicted of 14 of the freeway murders, he was executed by lethal injection in 1996."
Vasile Tcaciuc,Male,Romania,Romania,Europe,1917,1935,1926,18,1920s,26,5,21,Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison.
Yoo Young-chul,Male,South Korea,South Korea,Asia,2003,2004,2003,1,2000s,26,5,21,"Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated."
Francisco Guerrero Pérez,Male,Mexico,Mexico,North America,1880,1908,1894,28,1890s,21,0,21,"Known as ""El Chaquero""; the first captured serial killer in Mexico, who killed sex workers in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause."
Ted Bundy,Male,United States,United States,North America,1974,1978,1976,4,1970s,67,47,20,"Bundy was an American serial killer known for his charisma and good looks. He officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. He was infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989."
Abdullah Shah,Male,Afghanistan,Afghanistan,Asia,1990,,,,<NA>s,20,0,20,"Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed on April 20, 2004."
Mohan Kumar,Male,India,India,Asia,2005,2009,2007,4,2000s,20,0,20,"Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013."
Bulelani Mabhayi,Male,South Africa,South Africa,Africa,2007,2012,2009,5,2000s,20,0,20,"Known as the ""Monster of Thuleni""; killed 20 women and children from 2007 to 2012. Sentenced to 25 life sentences on September 3, 2013."
Larry Eyler,Male,United States,United States,North America,1982,1984,1983,2,1980s,23,4,19,"Known as ""The Interstate Killer""; sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994."
Cape Town Prostitute Killer,Unidentified,South Africa,South Africa,Africa,1992,1996,1994,4,1990s,20,1,19,"Unidentified serial killer who, on rainy nights, picked up sex workers and domestic workers in his vehicle, strangled them in parking lots, and dumped their bodies in rural, preselected spots."
"""El Psicópata""",Male,Costa Rica,Costa Rica,North America,1986,1996,1991,10,1990s,19,0,19,"(""The Psychopath"") Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway."
Sergei Ryakhovsky,Male,"Soviet Union, Russia",Multiple Countries,Multiple continents,1988,1993,1990,5,1990s,19,0,19,"Known as the Balashikha Ripper, he was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005."
Yevgeny Chuplinsky,Male,Russia,Russia,Europe,1998,2006,2002,8,2000s,19,0,19,"Known as the ""Novosibirsk Maniac""; killed sex workers in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment."
M. Jaishankar,Male,India,India,Asia,2008,2011,2009,3,2000s,19,0,19,"Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Killed himself by slashing his wrists with a shaving blade in prison on 27 February 2018."
Ansis Kaupēns,Male,Latvia,Latvia,Europe,1920,1926,1923,6,1920s,19,0,19,Army deserter who committed 30 robberies and killed 19 people; one of the most infamous Latvian criminals; executed by hanging in 1927.
Vadim Ershov,Male,Russia,Russia,Europe,1992,1995,1993,3,1990s,19,0,19,"Known as the ""Krasnoyarsk Beast""; committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment."
Velaphi Ndlangamandla,Male,South Africa,South Africa,Africa,1998,2007,2002,9,2000s,19,0,19,"Known as ""The Saloon Killer""; robber who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment."
Valery Kopytov,Male,Russia,Russia,Europe,2000,2004,2002,4,2000s,19,0,19,"Known as ""The Barnaul Chikatilo""; homeless man who killed other homeless people in Altai Krai."
Randall Woodfield,Male,United States,United States,North America,1979,1981,1980,2,1980s,44,26,18,"Known as ""The I-5 Killer"" and ""The I-5 Bandit."" Suspected of as many as 44 murders. Sentenced to imprisonment for life."
Yavuz Yapıcıoğlu,Male,Turkey,Turkey,Asia,1994,2002,1998,8,1990s,40,22,18,Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives. Was sentenced to 74 years in prison.
Paul John Knowles,Male,United States,United States,North America,1974,1983,1978,9,1970s,35,17,18,"Killed 18 people in various states in 1974. Claimed 35 murders. Known as the ""Casanova Killer""; shot dead by FBI agents."
Thierry Paulin,Male,France,France,Europe,1984,1987,1985,3,1980s,21,3,18,"Known as ""The monster of Montmartre"". Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial."
Richard Nyauza,Male,South Africa,South Africa,Africa,2002,2006,2004,4,2000s,19,1,18,"Known as ""The Quarry Murderer""; bludgeoned, beat, strangled, and stabbed 16 women and two unborn children to death and left their bodies in or around a quarry. Given 16 life sentences."
Umesh Reddy,Male,India,India,Asia,1996,2002,1999,6,1990s,18,0,18,Confessed to 18 rapes and murders. Sentenced to death.
Christopher Mhlengwa Zikode,Male,South Africa,South Africa,Africa,1994,1995,1994,1,1990s,18,0,18,"Known as ""Donnybrook Serial Killer"" murdered 18 people in Donnybrook, KwaZulu Natal from 1994 to 1995. Was given 140 years (5 life sentences)."
Kotakethana murders,Male,Sri Lanka,Sri Lanka,Asia,2008,2015,2011,7,2010s,18,0,18,18 mysterious murders of women in the Rathnapura district of Sri Lanka. One middle age man suspect was arrested in 2015 and his DNA matched with six murders. Nine other cases remain unsolved.
Asande Baninzi,Male,South Africa,South Africa,Africa,2001,2010,2005,9,2000s,18,0,18,"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment."
Vladimir Mirgorod,Male,Russia,Russia,Europe,2002,2004,2003,2,2000s,18,0,18,"Known as ""The Strangler""; raped and strangle women in Moscow, also killing one of the victims' son; sentenced to life imprisonment."
Richard Cottingham,Male,United States,United States,North America,1967,1980,1973,13,1970s,92,75,17,"Killer operating in New York and New Jersey who often targeted sex workers and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", with 17 confirmed homicide victims including nine convictions and a further eight official confessions. He has made unsubstantiated claims of up to a hundred victims."
Huang Yong,Male,China,China,Asia,2001,2003,2002,2,2000s,25,8,17,"Lured and murdered 17 teenage boys, although he is suspected of 25 murders between September 2001 and 2003. Executed by firing squad in 2003."
Pedro Pablo Nakada Ludeña,Male,Peru,Peru,South America,2005,2006,2005,1,2000s,25,8,17,"Known as ""El Apóstol de la Muerte"" (""The Apostle of Death""). Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison."
Darbara Singh,Male,India,India,Asia,2004,2013,2008,9,2000s,23,6,17,Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 from an illness while serving a life sentence.
Robert Hansen,Male,United States,United States,North America,1971,1983,1977,12,1970s,21,4,17,"Sex workers he kidnapped were released into the Alaskan wilderness for him to hunt down like animals. Based on discovered remains, police suspect him of six murders in addition to the 17 for which he was convicted. Sentenced to 461 years plus life. Died from unspecified health problems in 2014."
Sergei Dovzhenko,Male,Ukraine,Ukraine,Europe,1992,2002,1997,10,1990s,19,2,17,"Killed people because they were ""mocking"" him; sentenced to life imprisonment."
Donato Bilancia,Male,Italy,Italy,Europe,1997,1998,1997,1,1990s,17,0,17,"Burglar who murdered 17 people, mainly sex workers, between 1997 and 1998, during a six-month period. Known as the ""Prostitutes Killer"" and the ""Liguria Monster"". Sentenced to imprisonment for life, he died due to COVID-19 in 2020."
Irina Gaidamachuk,Female,Russia,Russia,Europe,2002,2010,2006,8,2000s,17,0,17,"Known as ""Satan in a skirt"". Killed 17 elderly women between 2002 and 2010. Sentenced to 20 years in prison."
Chen Fuzhao,Male,China,China,Asia,2003,2012,2007,9,2000s,17,0,17,Alleged Falun Gong fanatic who fatally poisoned 17 people in 2003.
Randy Steven Kraft,Male,United States,United States,North America,1971,1983,1977,12,1970s,67,51,16,"Convicted of 16 counts of murder but left a cryptic ""score card"" referring to at least 65 victims. May have had an accomplice. Sentenced to death."
Juana Barraza,Female,Mexico,Mexico,North America,,,,,<NA>s,49,33,16,Mexican female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.
Michel Fourniret,Male,"France, Belgium",Multiple Countries,Europe,1987,2001,1994,14,1990s,19,3,16,Known as the Ogre or Beast of Ardennes. He was caught after a failed kidnapping in 2003. Sentenced to life and died of respiratory problems while in prison in 2021.
Sipho Agmatir Thwala,Male,South Africa,South Africa,Africa,1996,1997,1996,1,1990s,19,3,16,"Nicknamed the Phoenix Strangler after the area in which he committed his crimes; he raped and strangled 19 women; arrested, he was found guilty of 16 murders and sentenced to life."
Saeed Hanaei,Male,Iran,Iran,Asia,2000,2001,2000,1,2000s,19,3,16,"Confessed to luring 16 sex workers to his home and killing them in an attempt to ""cleanse"" the city of Mashhad. His actions were dubbed ""The Spider Murders"". Executed by hanging in 2002."
Maina Ramulu,Male,India,India,Asia,2003,2020,2011,17,2010s,18,2,16,"Convicted of murdering 16 women between 2003 and 2013 during three separate murder sprees. He was released from prison in 2020, and allegedly murdered two more women."
Jeffrey Dahmer,Male,United States,United States,North America,1978,1991,1984,13,1980s,17,1,16,Dahmer ate some of his victims and kept their body parts in his freezer. Was sentenced to life imprisonment; murdered in prison in 1994.
José Antonio Rodríguez Vega,Male,Spain,Spain,Europe,1987,1988,1987,1,1980s,16,0,16,"Nicknamed El Mataviejas (The Old Lady Killer), he raped and killed at least 16 elderly women, aged from 61 to 93 years old, in and around Santander, Cantabria. He went unrecognized for over a year because he moved his victims into their beds after they were killed; no autopsies were made and the deaths were attributed to natural causes. He also took trophies from his victims that he held in a particular room of his home; about 10 percent of these trophies remained unclaimed, implying the existence of other victims. He was stabbed to death by two inmates while incarcerated in 2002."
Carroll Cole,Male,United States,United States,North America,1948,1980,1964,32,1960s,16,0,16,"Killed 16 people in California, Nevada, and Texas. Executed by lethal injection in 1985."
Elias Xitavhudzi,Male,South Africa,South Africa,Africa,1950,,,,<NA>s,16,0,16,"Nicknamed Panga man for his use of a machete (locally known as a ""panga""). He stabbed and robbed his victims between 1953 and 1959; arrested, he was executed by hanging in 1960."
Charles Ray Hatcher,Male,United States,United States,North America,1969,1982,1975,13,1970s,16,0,16,"A habitual criminal, confessed to the rape and murder of over 20 young and adolescent males. Escaped from prison several times and was declared a ""manipulative institutionalized sociopath"". Sentenced to life; killed himself by hanging himself in prison in 1984."
